name,alt_name,predicted_gender,article_count,full_count
Horace S. Eldredge,,man,17,22
Robert Gardner,,man,10,22
Priddy Meeks,,man,12,22
D. Michael Quinn,,man,12,22
Edward W. Tullidge,,man,18,22
Horace Greeley,,man,16,22
Cass Hite,,man,16,22
William B. Preston,,man,15,22
Jacob Miller,,man,10,22
David H. Burr,,man,12,22
William Peterson,,man,11,22
William Glasmann,,man,9,22
Kimball Young,,man,6,22
Howard Spencer,,man,5,22
Clem Powell,,man,7,22
Van Zile,,man,3,22
Mary Magdalene,,woman,11,22
Alice Merrill,,woman,8,22
Mary Ada,,woman,2,22
Zeta Gamma,,woman,1,22
Mary Belle,,woman,1,22
Edward Hunter,,man,18,21
Herbert E. Gregory,,man,13,21
John R. Park,,man,16,21
Thomas Fitzpatrick,,man,13,21
Truman O. Angell,,man,13,21
Louis Vasquez,,man,12,21
Jules Remy,,man,14,21
Orrin Porter Rockwell,O. P. Rockwell,man,14,21
James Sharp,,man,9,21
Christopher Layton,,man,5,21
Bates Wilson,,man,3,21
Smith Wells,,man,2,21
Cliven Bundy,,man,2,21
William S. Godbe,WILLIAM S. GODBE,man,15,20
James Clyman,,man,11,20
Henry G. Sherwood,,man,7,20
Parley P. Christensen,,man,4,20
William McKinley,,man,18,20
Richard W. Young,,man,15,20
Joseph L. Rawlins,,man,15,20
Kumen Jones,,man,15,20
Philip St. George Cooke,,man,13,20
Lowry Nelson,,man,13,20
Zerubbabel Snow,,man,15,20
Nels Anderson,,man,9,20
Julius Taylor,,man,4,20
Warren Johnson,,man,2,20
Paul Revere,,man,2,20
Mary Jones,,woman,7,20
Amy Jane,,woman,3,20
Annie Bradley,,woman,2,20
Helen Post,,woman,1,20
Butch Cassidy,,man,16,20
Zachary Taylor,,man,9,20
Davis Bitton,,man,11,19
Brigham D. Madsen,,man,18,19
Ronald W. Walker,RONALD W. WALKER,man,14,19
Herbert B. Maw,,man,18,19
Edwin Bryant,,man,14,19
Joel E. Ricks,,man,12,19
William H. Ashley,,man,15,19
James G. Bleak,,man,13,19
A. H. Thompson,,man,15,19
John Hafen,,man,11,19
William Clark,,man,12,19
Washington Irving,,man,11,19
John B. Floyd,,man,13,19
H. B. Clawson,,man,13,19
Frank Beckwith,,man,7,19
James Andrus,,man,10,19
Thomas S. Smith,,man,5,19
Daryl Chase,,man,4,19
Siegfried Sassoon,,man,2,19
Aaron DeWitt,,man,1,19
Joe Bishop,,man,1,19
Felix Marion,,man,1,19
Lucy Gates,,woman,8,19
MIRIAM B. MURPHY,Miriam B. Murphy,woman,15,18
Gustive O. Larson,GUSTIVE O. LARSON; Gustive Larson,man,17,18
William R. Palmer,,man,12,18
John Hudson,,man,6,18
William R. Palmer,,man,12,18
Allan Kent Powell,,man,10,18
Samuel Brannan,,man,10,18
Ernest L. Wilkinson,,man,9,18
Everett Ruess,,man,6,18
Alf Engen,,man,3,18
Jesse N. Smith,,man,13,18
Barry Goldwater,,man,10,18
George M. Cannon,,man,11,18
William Hyde,,man,12,18
Isaac C. Haight,,man,13,18
Isaac Morley,,man,15,18
Thomas Alexander,,man,15,18
Joseph Fish,,man,11,18
James Jack,,man,13,18
Horace Albright,,man,9,18
Cyrus E. Dallin,,man,7,18
Seth M. Blair,,man,11,18
Andrew Love Neff,,man,11,18
John Q. Cannon,,man,10,18
Joel Ricks,,man,6,18
James Madison,,man,5,18
Samuel Richards,,man,6,18
Jack Johnson,,man,4,18
John I. Ginn,,man,3,18
John Wayne,,man,3,18
Don Juan Maria,,man,6,18
Nellie Powell,,woman,8,18
Stella D'America,,woman,3,18
Mary Chamberlain,,woman,3,18
Kate Connor,,woman,3,18
Almon W. Babbitt,,man,12,18
David E. Miller,DAVID E. MILLER,man,15,17
Sam Brannan,,man,14,17
James Ferguson,,man,17,17
Abe Murdock,,man,12,17
Charles Preuss,,man,11,17
Ellis R. Shipp,,man,12,17
John Hyde,,man,9,17
William H. Russell,,man,10,17
James H. Moyle,,man,10,17
Matthias F. Cowley,,man,10,17
Abraham Cannon,,man,7,17
Isaac Haight,,man,9,17
E. O. Beaman,,man,8,17
Daniel Bonelli,,man,5,17
Farrel Ross,,man,3,17
John M. Hockaday,,man,6,17
Joe Wing,,man,1,17
Tamson Egan,,woman,2,17
Emma Smith,,woman,8,17
Harriet Lane,,woman,6,17
Jay Gould,,man,11,17
John Milton,,man,6,17
Elias Smith,,man,15,16
Bernardo de Miera,,man,10,16
John C. Cutler,,man,14,16
Walter Murray Gibson,,man,5,16
James Monroe,,man,4,16
Paul Jones,,man,3,16
William Allen,,man,2,16
Lansford W. Hastings,,man,15,16
E. L. T. Harrison,,man,13,16
C. C. Goodwin,,man,10,16
Henry Clay,,man,13,16
Evan Stephens,,man,9,16
Henry Ballard,,man,9,16
George Dewey,,man,9,16
Feramorz Little,,man,12,16
Zane Grey,,man,12,16
Seymour B. Young,,man,11,16
Richard F. Burton,,man,12,16
Andrew Carnegie,,man,7,16
Everett Cooley,,man,7,16
Austin Fife,,man,6,16
John Evans,,man,7,16
Joseph L. Hey,,man,8,16
Truman Angel,,man,6,16
Howard O. Spencer,,man,6,16
John Bennion,,man,9,16
J. T. Harwood,J.T. Harwood; James T. Harwood,man,6,16
John James,,man,8,16
Peter Mortensen,,man,5,16
Jack Dockter,,man,3,16
James O. Pattie,,man,3,16
Gordon B. Hinckley,,man,8,16
Wilson McCarthy,,man,2,16
Sarah M. Kimball,,woman,10,16
Seneca Howland,,woman,12,16
Alma Richards,,woman,2,16
Jacob Forney,,man,12,16
John Collier,,man,8,16
William Harris,,man,9,15
LeRoy R. Hafen,,man,13,15
Henry W. Lawrence,,man,12,15
Samuel R. Thurman,,man,9,15
Harry Aleson,,man,6,15
Lewis Shurtliff,,man,1,15
Dwight D. Eisenhower,,man,15,15
James Duane Doty,,man,12,15
Benjamin Franklin,,man,12,15
Norman Nevills,,man,8,15
David O. Calder,,man,9,15
Samuel B. Reed,,man,8,15
Bill Hickman,,man,10,15
Ezra Thompson,,man,9,15
Aaron Johnson,,man,10,15
James A. Little,,man,11,15
Hugh B. Brown,,man,9,15
Silas S. Smith,,man,7,15
Elbert Thomas,,man,7,15
Joseph L. Heywood,,man,7,15
Zeke Johnson,,man,4,15
Gomer Thomas,,man,3,15
Ephraim Hanks,,man,6,15
Ewing Young,,man,4,15
David A. Smith,,man,3,15
Claude Barnes,,man,3,15
Pete Suazo,,man,2,15
Kate B. Carter,,woman,12,15
Enola Gay,,woman,6,15
Carol Cornwall,Carol Cornwall Madsen,woman,6,15
Robert Marshall,,man,5,15
Nicholas G. Morgan,,man,9,14
Joseph Howell,,man,10,14
Thomas D. Brown,,man,8,14
J. C. Little,,man,8,14
William Taylor,,man,6,14
Orlando W. Powers,,man,11,14
Thomas Jefferson,,man,11,14
John Morgan,,man,10,14
John R. Winder,,man,13,14
O. G. Howland,,man,8,14
John W. Taylor,,man,9,14
John Pack,,man,10,14
Karl Larson,,man,9,14
Frank Fuller,,man,11,14
Dred Scott,,man,10,14
Jack Casement,,man,7,14
James Leithead,,man,7,14
George Dewey Clyde,,man,7,14
Frank E. Moss,,man,7,14
Juan Maria de Rivera,,man,10,14
Joseph Smith III,,man,6,14
John Held,,man,6,14
Oliver Cowdery,,man,7,14
George Goddard,,man,7,14
Spencer W. Kimball,,man,9,14
Edward Creighton,,man,5,14
Jesse A. Gove,,man,5,14
William Lee,,man,5,14
Jesse Fox,,man,5,14
John Tobin,,man,5,14
Henry Lunt,,man,6,14
J. K. Hillers,John K. Hillers; John Hillers,man,12,14
Sverre Engen,,man,3,14
Ralph Pike,,man,4,14
Charles Brown,,man,3,14
Isaac Carpenter,,man,1,14
Fray Marcos,,man,2,14
Waldemer Read,,man,1,14
Virginia Sorensen,,woman,7,14
Mary Teasdel,,woman,5,14
Elizabeth Cumming,,woman,5,14
Dorothea Lange,,woman,3,14
Marion Jones,,woman,1,14
Almon Harris Thompson,,man,10,13
Richard D. Poll,RICHARD D. POLL,man,12,13
William P. MacKinnon,,man,5,13
C. R. Savage,,man,10,13
Frederick Piercy,,man,6,13
Thomas Jose,,man,2,13
Don Diego,,man,2,13
Arthur L. Thomas,,man,12,13
John F. Kinney,,man,12,13
Mahonri Young,,man,10,13
Daniel C. Jackling,,man,12,13
John F. Kennedy,,man,13,13
William S. Harney,,man,10,13
George Reynolds,,man,10,13
George Thomas,,man,11,13
Jack Dempsey,,man,9,13
Thomas Taylor,,man,8,13
William J. Snow,,man,8,13
Edwin D. W,,man,11,13
Stephen Mather,,man,7,13
Jefferson Davis,,man,9,13
William H. Dame,,man,10,13
William Chandless,,man,7,13
Abram Hatch,,man,8,13
Jed Smith,,man,5,13
Charles L. Walker,,man,7,13
A. P. Rockwood,,man,9,13
Anthony Ivins,,man,5,13
Warren M. Johnson,,man,5,13
Thomas D. Dee,,man,5,13
Andres Muniz,,man,5,13
William Morris,,man,5,13
Charles Mabey,,man,9,13
Walt Disney,,man,5,13
Jesse Little,,man,3,13
JOHN ELDREDGE,,man,1,13
Oliver DeMille,,man,2,13
JOHN ELDREDGE,,man,1,13
James T. Monk,James T Monk,man,1,13
Wilfred Owen,,man,1,13
Brig Kemble,,man,1,13
Lula Greene Richards,,woman,5,13
Victory Highway,,woman,5,13
Jane Richards,,woman,2,13
Belle London,,woman,4,13
Faye Clark,,woman,1,13
Julia Ann,,woman,1,13
Josie Kensler,,woman,1,13
Chester A. Arthur,,man,12,13
Robin Hood,,man,7,13
Gregory Crampton,,man,12,12
Francis Marion,,man,10,12
William Harrison,,man,7,12
Nathaniel V. Jones,,man,9,12
Douglas White,,man,4,12
Thomas Hart Benton,,man,11,12
Caleb W. West,,man,12,12
George Romney,,man,10,12
Charles R. Savage,,man,10,12
Henry W. Miller,,man,10,12
Elias Morris,,man,10,12
Daniel S. Tuttle,,man,11,12
Hiram Kimball,,man,9,12
Herbert E. Bolton,,man,11,12
Joseph T. Kingsbury,,man,11,12
George D. Grant,,man,10,12
Ben Lomond,,man,10,12
Robert E. Lee,,man,12,12
Dan Jones,,man,8,12
F. H. Head,,man,9,12
John Bidwell,,man,8,12
Caleb West,,man,9,12
J. Edgar Hoover,,man,9,12
Joseph S. Glass,,man,10,12
Rulon S. Wells,,man,7,12
Alexander Toponce,,man,8,12
Bill Williams,,man,9,12
William Kelly,,man,10,12
Joe Smith,,man,8,12
William Stewart,,man,6,12
Cyrus Dallin,,man,6,12
Frank Leslie,,man,7,12
Henry Jackson,,man,8,12
Milton Bennion,,man,7,12
Karl Gilbert,,man,7,12
Ray Olpin,,man,6,12
Herbert Maw,,man,8,12
Joseph E. Johnson,,man,5,12
Hector Lee,,man,5,12
Michel Bourdon,,man,5,12
Charles Savage,,man,6,12
David Brower,,man,5,12
J. Golden Kimball,,man,6,12
Edgar Mills,,man,5,12
William Ashley,,man,7,12
Francis Armstrong,,man,5,12
Milton R. Hunter,,man,9,12
George Teasdale,,man,7,12
W. M. F. Magraw,,man,5,12
Samuel Claridge,,man,4,12
John M. Higbee,,man,6,12
Antonio Armijo,,man,8,12
F. M. Bishop,,man,6,12
Richard Francaviglia,,man,4,12
W. I. Appleby,William Appleby; William I. Appleby; William L. Appleby,man,11,12
John Banks,,man,3,12
Charles Redd,,man,10,12
David John,,man,5,12
George Sheets,,man,2,12
John Olson,,man,2,12
Samuel Baker,,man,1,12
George Segal,,man,2,12
Felix Marion Jones,,man,1,12
Warren Jeffs,,man,1,12
Moroni Tanner,,man,1,12
Joe Hamblin,,man,4,12
H. C. Kimball,,man,7,12
Gobo Fango,,man,1,12
E. C. Henrichsen,,man,1,12
Maude Adams,,woman,8,12
Alice Merrill Horne,,woman,6,12
Carrie Chapman Catt,,woman,6,12
Vera Cruz,,woman,4,12
Patty Sessions,,woman,3,12
Mary Stevens,,woman,2,12
Amy Lowell,,woman,1,12
Susan Ellen,,woman,1,12
Maxine Hanks,,woman,1,12
Harold Ickes,,man,8,12
C. Gregory Crampton,C. GREGORY CRAMPTON,man,11,11
Glen M. Leonard,,man,9,11
Charles Lambert,,man,6,11
Abiel Leonard,,man,6,11
Warren Hussey,,man,5,11
Eli H. Murray,,man,11,11
Calvin L. Rampton,,man,9,11
Jacob Gates,,man,10,11
James B. McKean,,man,11,11
Charles Crocker,,man,8,11
Robert Brewster Stanton,,man,8,11
Eugene V. Debs,,man,8,11
O. H. Irish,,man,8,11
Arthur V. Watkins,,man,8,11
Thomas C. Durant,,man,8,11
Milton R. Merrill,,man,8,11
William H. Seward,,man,8,11
Richard Poll,,man,8,11
Thomas Callister,,man,8,11
Jim Crow,,man,7,11
Joseph Taylor,,man,6,11
William Henry Jackson,,man,7,11
Charles Walker,,man,6,11
Cleon Skousen,,man,5,11
Grove Karl Gilbert,,man,6,11
John Nebeker,,man,9,11
Oliver Ames,,man,7,11
Lyman Wight,,man,8,11
William C. Staines,William C Staines,man,7,11
Lewis Cass,,man,10,11
William C. Mitchell,,man,4,11
Howard Orson,,man,4,11
George Edward Anderson,,man,5,11
Sam Houston,,man,5,11
Thomas E. Ricks,,man,5,11
W. G. Williams,,man,6,11
Washington F. Anderson,,man,4,11
Israel Bennion,,man,6,11
Frank Bonacci,,man,5,11
Teancum Pratt,,man,4,11
Dave Rust,,man,5,11
William Wood,,man,6,11
Abner Blackburn,,man,4,11
Neil Judd,,man,4,11
John K. Kane,,man,5,11
John Ray,,man,5,11
Noble Warrum,,man,6,11
William H. Smart,,man,2,11
Charles F. Smith,,man,4,11
Calvin Smith,,man,3,11
John S. Johnson,,man,1,11
Obadiah Riggs,,man,1,11
Walter Lyman,,man,2,11
Wallace Thur,,man,1,11
Lewis W. Shurtliff,,man,1,11
Elna Ivie,,woman,1,11
Emily S. Richards,,woman,7,11
Kate Carter,,woman,6,11
Ruth May Fox,,woman,6,11
Ann Eliza Young,,woman,5,11
Fawn McKay,Fawn McKay Brodie,woman,4,11
Elizabeth Tracy,,woman,2,11
Emma Lou,,woman,2,11
Alice Paul,,woman,4,11
Orrin Hatch,,man,8,11
John Milton Bernhisel,,man,3,11
John P. Cahoon,,man,3,11
John W. Hess,JOHN W. HESS,man,6,10
James Frazier Reed,,man,7,10
Fawn M. Brodie,,woman,7,10
Fred J. Kiesel,,man,7,10
John M. Macfarlane,,man,6,10
Earl Douglass,,man,3,10
Leland Stapley,,man,3,10
Ed Creighton,,man,1,10
John Ford,,man,2,10
Tex Rickard,,man,2,10
W. C. Powell,,man,3,10
Ellis Shipp,,man,10,10
W. W. Drummond,,man,10,10
Vardis Fisher,,man,9,10
John D. Rockefeller,,man,10,10
Charles Durkee,,man,10,10
Randolph B. Marcy,,man,8,10
Jesse W. Crosby,,man,8,10
Frederick Dellenbaugh,,man,9,10
George W. Bean,,man,9,10
John J. Pershing,,man,10,10
Dean May,,man,9,10
James White,,man,7,10
Ben Holladay,,man,7,10
Schuyler Colfax,,man,9,10
George Miller,,man,8,10
Charles Peters,,man,9,10
Andrew Gibbons,,man,6,10
Manuel Mestas,,man,6,10
John Kay,,man,6,10
Ellis Reynolds Shipp,,man,6,10
Edward J. Steptoe,,man,7,10
Stephen S. Harding,,man,7,10
George H. Brimhall,,man,7,10
George Crook,,man,7,10
J. H. Beadle,,man,6,10
Dimick Huntington,,man,8,10
Alfred Lambourne,,man,5,10
Stylian Staes,,man,5,10
Silas Smith,,man,6,10
Frank Moss,,man,7,10
Levi Richards,,man,6,10
Chapman Duncan,,man,6,10
J. Roderic Korns,,man,7,10
Isaac Higbee,,man,6,10
Joseph J. Hill,,man,6,10
Edwin D. Woolley,,man,8,10
Julian Steward,,man,7,10
Howard Orson Spencer,,man,4,10
David Candland,,man,4,10
Walter Powell,,man,4,10
W. H. Dickson,,man,4,10
John Park,,man,5,10
Spencer Clawson,,man,5,10
William A. Carter,,man,5,10
John Dewey,,man,5,10
Randall Jones,,man,5,10
Thomas S. Terry,,man,4,10
Joseph Black,,man,5,10
James Lynch,,man,4,10
Isaac Bullock,,man,8,10
Charles Goodman,,man,4,10
Ebenezer Hanks,,man,4,10
David Hirschi,,man,4,10
F. S. Dellenbaugh,,man,5,10
William Crosby,,man,5,10
John G. M. Barnes,,man,2,10
William Folsom,,man,3,10
Henry Swan,,man,2,10
William Bell,,man,3,10
Lewis Robinson,,man,4,10
David Moore,,man,5,10
Isaac Neibaur,,man,2,10
George A. Hicks,,man,2,10
James Lewis,,man,5,10
Paul Reeve,,man,9,10
Ted Capener,,man,2,10
John H. Bowler,,man,1,10
Mark Braffet,,man,1,10
Monte Cristos,,man,1,10
John Hardison Redd,,man,1,10
Wallace Thurman,,man,1,10
Gus Becker,,man,2,10
Farres Nyman,,man,2,10
B. Y. Hampton,,man,3,10
Zera Pulsipher,,man,3,10
Monsignor Giovannoni,,man,1,10
J. W. Cummings,,man,3,10
B. L. E. Bonneville,Benjamin Louis Eulalie de Bonneville; Benjamin L.E. Bonneville,man,8,10
Ellen B. Ferguson,,woman,8,10
Annie Wells Cannon,,woman,5,10
Isabel Cameron,,woman,3,10
Belva Lockwood,,woman,4,10
Angelina Gutierrez,,woman,1,10
Hannah King,,woman,1,10
Wallace F. Bennett,,man,10,10
Snow White,,woman,2,9
Little Bear,,man,8,9
Robert J. Dwyer,ROBERT J. DWYER,man,9,9
Chief Ouray,,man,7,9
Thomas Carter,THOMAS CARTER,man,9,9
Thomas Wolfe,,man,5,9
Jordan Narrows,,man,4,9
Melvin T. Smith,,man,4,9
Frank C. Hall,,man,1,9
Patsey Marley,,man,1,9
Hannah Sorensen,,woman,4,9
Grenville M. Dodge,,man,9,9
Eli B. Kelsey,,man,8,9
Rutherford B. Hayes,,man,8,9
Mauricio Arze,,man,9,9
Lagos Garcia,,man,9,9
Richard R. Lyman,,man,9,9
Jacob Johnson,,man,7,9
Platte D. Lyman,,man,7,9
Levi Savage,,man,7,9
Robert H. Hinckley,,man,7,9
Kaiser Wilhelm,,man,8,9
Henry L. Mitchell,,man,6,9
Charles Penrose,,man,7,9
Albert F. Potter,,man,7,9
George Wood,,man,7,9
Jack Hillers,,man,8,9
Charles Peterson,,man,8,9
William W. Phelps,,man,7,9
